INPUT VALUES USED IN HTHH PLUMERIA RUNS. T=900.0, m_w=0.00, m_g=0.03, rho_mix=5.948
run #         MER         diam     u_exit     T_m     m_w     m_g     rho_mix
  441     8.0823e+09      3505      140.8     900    0.00    0.03      5.948
  442     1.4143e+09       959      329.2     900    0.00    0.03      5.948
  443     7.7489e+09      2409      285.8     900    0.00    0.03      5.948
  444     2.2617e+06        47      222.5     900    0.00    0.03      5.948
  445     5.3032e+08       658      262.3     900    0.00    0.03      5.948
  446     1.5311e+07       160      128.8     900    0.00    0.03      5.948
  447     2.9897e+08       664      145.3     900    0.00    0.03      5.948
  448     9.9605e+07       310      222.3     900    0.00    0.03      5.948
  449     1.0803e+06        47      104.9     900    0.00    0.03      5.948
  450     1.2129e+09      1123      206.0     900    0.00    0.03      5.948
  451     2.9805e+09      2513      101.0     900    0.00    0.03      5.948
  452     2.2452e+06        51      185.1     900    0.00    0.03      5.948
  453     5.7712e+07       192      336.4     900    0.00    0.03      5.948
  454     1.0504e+06        26      329.6     900    0.00    0.03      5.948
  455     2.6283e+07       143      274.3     900    0.00    0.03      5.948
  456     1.4049e+10      3767      211.9     900    0.00    0.03      5.948
  457     6.8613e+06        78      242.9     900    0.00    0.03      5.948
  458     1.0120e+07        79      343.4     900    0.00    0.03      5.948
  459     1.7016e+10      5819      107.6     900    0.00    0.03      5.948
  460     1.3088e+06        43      150.8     900    0.00    0.03      5.948
  461     1.0071e+06        41      125.6     900    0.00    0.03      5.948
  462     2.9367e+08       599      175.2     900    0.00    0.03      5.948
  463     6.3480e+07       202      334.4     900    0.00    0.03      5.948
  464     1.5925e+09      1695      118.7     900    0.00    0.03      5.948
  465     7.6952e+09      3599      127.2     900    0.00    0.03      5.948
  466     1.2330e+10      4855      112.0     900    0.00    0.03      5.948
  467     3.1136e+08       486      281.7     900    0.00    0.03      5.948
  468     5.1678e+06        74      201.7     900    0.00    0.03      5.948
  469     1.2044e+06        43      137.3     900    0.00    0.03      5.948
  470     1.4951e+10      4359      168.4     900    0.00    0.03      5.948
  471     4.6901e+08       612      268.1     900    0.00    0.03      5.948
  472     1.5904e+08       453      166.2     900    0.00    0.03      5.948
  473     1.3806e+07       170      102.1     900    0.00    0.03      5.948
  474     2.2753e+06        58      146.2     900    0.00    0.03      5.948
  475     2.3720e+07       123      335.3     900    0.00    0.03      5.948
  476     4.1949e+08       853      123.5     900    0.00    0.03      5.948
  477     3.9491e+08       737      155.5     900    0.00    0.03      5.948
  478     5.9290e+09      3382      110.9     900    0.00    0.03      5.948
  479     1.5008e+10      3049      345.5     900    0.00    0.03      5.948
  480     8.9281e+08       809      292.4     900    0.00    0.03      5.948
  481     2.3149e+06        43      262.5     900    0.00    0.03      5.948
  482     6.0705e+06        72      249.3     900    0.00    0.03      5.948
  483     3.9784e+08       697      175.4     900    0.00    0.03      5.948
  484     9.6532e+08      1167      151.8     900    0.00    0.03      5.948
  485     1.0249e+08       313      224.5     900    0.00    0.03      5.948
  486     1.6573e+10      5411      121.2     900    0.00    0.03      5.948
  487     1.5393e+06        31      343.6     900    0.00    0.03      5.948
  488     1.2005e+10      4238      143.1     900    0.00    0.03      5.948
  489     7.8554e+06       111      135.8     900    0.00    0.03      5.948
  490     1.1741e+10      2992      280.8     900    0.00    0.03      5.948
  491     1.5146e+08       503      128.4     900    0.00    0.03      5.948
  492     1.8812e+10      5984      112.4     900    0.00    0.03      5.948
  493     1.0404e+09      1002      221.8     900    0.00    0.03      5.948
  494     6.4831e+07       287      168.5     900    0.00    0.03      5.948
  495     9.5894e+06        86      275.8     900    0.00    0.03      5.948
  496     1.9596e+06        35      341.0     900    0.00    0.03      5.948
  497     1.5320e+10      3777      229.9     900    0.00    0.03      5.948
  498     1.2012e+07        88      335.2     900    0.00    0.03      5.948
  499     6.2027e+08       999      133.0     900    0.00    0.03      5.948
